path,query_id,response,completion_tokens,latency_ms,error
.engine-compare/old/types/constraint/intern.go,q0,NONE,2,584,
.engine-compare/old/types/constraint/expr_compare.go,q0,NONE,2,1275,
.engine-compare/old/types/constraint/path_helpers.go,q0,NONE,2,1277,
.engine-compare/old/types/constraint/doc.go,q0,NONE,2,1275,
.engine-compare/old/types/constraint/numeric.go,q0,NONE,2,1276,
.engine-compare/old/types/cfg/versioned.go,q0,NONE,2,1277,
.engine-compare/old/types/cfg/identity.go,q0,NONE,2,1277,
.engine-compare/old/types/constraint/effect.go,q0,NONE,2,1279,
.engine-compare/old/types/cfg/cfg.go,q0,NONE,2,1444,
.engine-compare/old/types/cfg/ssa.go,q0,NONE,2,1786,
.engine-compare/old/types/constraint/atom.go,q0,NONE,2,1784,
.engine-compare/old/types/constraint/constraint.go,q0,NONE,2,1908,
.engine-compare/old/types/constraint/path.go,q0,NONE,2,2210,
.engine-compare/old/types/db/input.go,q0,NONE,2,475,
.engine-compare/old/types/constraint/theory/modular.go,q0,NONE,2,1868,
.engine-compare/old/types/constraint/sort.go,q0,NONE,2,1870,
.engine-compare/old/types/constraint/theory/result.go,q0,NONE,2,1868,
.engine-compare/old/types/constraint/theory/doc.go,q0,NONE,2,1870,
.engine-compare/old/types/constraint/path_visit.go,q0,"FUNC VisitPaths, LINE 7, handles multiple unrelated responsibilities",14,3798,
.engine-compare/old/types/db/db.go,q0,"FUNC Intern, LINE 178, complex locking and logic",14,2521,
.engine-compare/old/types/db/query.go,q0,"FUNC Get, LINE 243, handles complex cycle logic",14,1848,
.engine-compare/old/types/constraint/expr.go,q0,"FUNC Simplify, 315, handles complex constant folding
FUNC ExprEquals, 175, deep nested control flow",27,4577,
.engine-compare/old/types/db/attachment.go,q0,NONE,2,3007,
.engine-compare/old/types/diag/types.go,q0,NONE,2,2138,
.engine-compare/old/types/effect/param_ref.go,q0,NONE,2,897,
.engine-compare/old/types/constraint/theory/difference.go,q0,"FUNC solve, START 178, handles shortest paths and cycles",15,4312,
.engine-compare/old/types/diag/render.go,q0,"FUNC render, LINE 76, handles multiple rendering responsibilities",14,2494,
.engine-compare/old/types/contract/spec.go,q0,"FUNC Equals, LINE 238, handles many structural comparisons",14,3855,
.engine-compare/old/types/effect/compose.go,q0,NONE,2,1301,
.engine-compare/old/types/constraint/theory/egraph.go,q0,"FUNC propagateCongruence, start 176, handles multiple unrelated responsibilities",18,4406,
