path,passed,filter_answer,deep_response,completion_tokens,latency_ms,error
analysis/check/body/config_test.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/config_test.go,""callOutcome, callOutcomeFactory, signatureArgumentType, signatureArgumentTypeFactory"",hardcoded semantic cases,analysis/engine/callpayload
analysis/check/body/config_test.go,""WidenAt, WidenDelay"",hardcoded semantic cases,analysis/check/body
analysis/check/body/config_test.go,""StateLanes, ClosedDynamicAllValues"",maintenance sprawl (manual slice aliasing checks),analysis/check/body",121,3035,
analysis/check/body/entry_state.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/entry_state.go,functionParamEntrySeeds,hardcoded semantic cases,typeresolve.Resolver
analysis/check/body/entry_state.go,functionParamEntrySeeds,overloaded helpers,typeresolve.Resolver
analysis/check/body/entry_state.go,configuredGlobalEntrySeeds,duplicate vocabulary,importlookup.Source
analysis/check/body/entry_state.go,entrySeedPlan,proof propagation split across layers,state.State",120,3044,
analysis/check/body/entry_contextual_function.go,true,YES,"file,symbols,debt_kind,suggested_canonical_owner
analysis/check/body/entry_contextual_function.go,""returnPositionIndex"",""maintenance_sprawl (manual AST traversal)"",""ast""
analysis/check/body/entry_contextual_function.go,""returnPositionIndex"",""parallel_routes (duplicate visitor logic)"",""ast""
analysis/check/body/entry_contextual_function.go,""contextualParamType, methodReceiverType"",""overloaded_helpers (leaky type-check logic)"",""type/typ""",122,3045,
analysis/check/body/covariant_widen.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/covariant_widen.go,spliceFieldType,parallel route,analysis/type/typ
analysis/check/body/covariant_widen.go,widenRecordType,proof propagation split,analysis/type/typ
analysis/check/body/covariant_widen.go,recordPayload,duplicate vocabulary,analysis/type/typ
analysis/check/body/covariant_widen.go,recordFieldByName,duplicate vocabulary,analysis/type/typ
analysis/check/body/covariant_widen.go,widenRecordType,performance waste,analysis/type/typ",146,3201,
analysis/check/body/call_identity_test.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/call_identity_test.go,""onlyCallSignature, onlyCallSite"",duplicate vocabulary,analysis/check/body
analysis/check/body/call_identity_test.go,Config,hardcoded semantic cases,analysis/check/body
analysis/check/body/call_identity_test.go,parseChunk,overloaded helper,analysis/check/body",99,6271,
analysis/check/body/config.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/config.go,""copyConfig, SolveConfig"",parallel routes,analysis/check/body
analysis/check/body/config.go,""configGlobals, Globals"",duplicate vocabulary,analysis/module/signaturelookup
analysis/check/body/config.go,""config.ClosedDynamicAllValues, SolveConfig.ClosedDynamicAllValues"",proof propagation split,analysis/engine/factapply
analysis/check/body/config.go,""hasSignatures, hasModuleExports"",hardcoded semantic cases,analysis/module/manifest",130,6594,
analysis/check/body/call_identity.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/call_identity.go,""nameForCall, nameForCallSiteView, nameForSite, nameForIndexedCallSiteView"",parallel routes,signatureIdentityResolver
analysis/check/body/call_identity.go,""nameForCall, nameForCallSiteView"",duplicate vocabulary,signatureIdentityResolver
analysis/check/body/call_identity.go,""stableCalleeName"",hardcoded semantic cases,signatureIdentityResolver
analysis/check/body/call_identity.go,""pointForSite, pointForSiteView"",parallel routes,signatureIdentityResolver
analysis/check/body/call_identity.go,""nameForIndexedCallSiteView"",overloaded helpers,signatureIdentityResolver",164,6948,
analysis/check/body/entry_state_test.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/entry_state_test.go,""functionParamEntrySeeds, configuredGlobalEntrySeeds, seedEntryStateValues"",parallel routes,analysis/check/body
analysis/check/body/entry_state_test.go,""evidence.GradualTop, evidence.ExplicitTop"",duplicate vocabulary,analysis/domain/value/axis/evidence
analysis/check/body/entry_state_test.go,""product.Get, product.PresenceOf, product.TypeOf"",overloaded helpers,analysis/domain/value/product
analysis/check/body/entry_state_test.go,""mustParamSlot, mustLocalAt, parseChunk, parseFunction"",maintenance sprawl,analysis/test/value/standard",168,7014,
analysis/architecture/import_boundary_test.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/architecture/import_boundary_test.go,""TestNormalReturnFactPipelineHasPositiveLaneOwners, TestPathAddressPipelineHasPositiveOwner"",maintenance sprawl,analysis/engine
analysis/architecture/import_boundary_test.go,""TestConstraintExprReferencesHavePositiveBindingOwner, TestValueIdentityCarrierHasPositiveOwner"",duplicate vocabulary,analysis/domain
analysis/architecture/import_boundary_test.go,""TestDiagnosticQueryHasPositiveProjectionOwner, TestExportManifestSourceProjectionHasPositiveOwner"",proof propagation split across layers,analysis/check
analysis/architecture/import_boundary_test.go,""TestValueAxisLeafDirectImportBoundaries, TestDomainValuePackageDirectImportBoundaries"",hardcoded semantic cases,analysis/domain/value/axis",169,7064,
analysis/check/body/function_value_types.go,true,YES,"file,symbols,debt_kind,suggested_canonical_owner
analysis/check/body/function_value_types.go,""WithFunctionValueTypes, WithOwnedFunctionValueTypes"",parallel_routes,analysis/engine/state
analysis/check/body/function_value_types.go,""functionContextEntryHolds, heapTableContextHolds"",proof_propagation_split,analysis/engine/state
analysis/check/body/function_value_types.go,""contextValueSatisfies, contextPathValueSatisfies"",overloaded_helpers,analysis/domain/value/product
analysis/check/body/function_value_types.go,""cloneFunctionValueTypes"",maintenance_sprawl,analysis/engine/state
analysis/check/body/function_value_types.go,""heapTableObjectContextHolds"",hardcoded_semantic_cases,analysis/engine/state/heapidentity",192,7176,
analysis/check/body/api.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/api.go,""Config, SolveConfig"",parallel routes,analysis/check/body
analysis/check/body/api.go,""Config.TypeValues, SolveConfig.TypeValues"",duplicate vocabulary,analysis/check/body
analysis/check/body/api.go,""Config.StateLanes, SolveConfig.StateLanes"",parallel routes,analysis/check/body
analysis/check/body/api.go,""Config.CallOutcome..., SolveConfig.CallOutcome..."",parallel routes,analysis/check/body
analysis/check/body/api.go,""Config.WidenAt, SolveConfig.WidenAt"",parallel routes,analysis/check/body
analysis/check/body/api.go,""Config.WidenDelay, SolveConfig.WidenDelay"",parallel routes,analysis/check/body
analysis/check/body/api.go,""PrepareChunk, PrepareBoundChunk, PrepareFunction, PrepareBoundFunction"",maintenance sprawl,analysis/check/body",227,7394,
analysis/check/body/module_type_alias.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/module_type_alias.go,ResolveTypeRef,parallel route,typelookup.Source
analysis/check/body/module_type_alias.go,requireAliasTypeResolver,overloaded helper,typelookup.Source",75,7877,
analysis/check/body/object_literal_sourcevalue.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/object_literal_sourcevalue.go,""objectLiteralValueFromView, objectLiteralViewEvaluator"",parallel routes,luasourcevalue
analysis/check/body/object_literal_sourcevalue.go,expressionOperationEvaluator,overloaded helpers,luasourcevalue",78,7871,
analysis/check/body/function_value_types_test.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/function_value_types_test.go,""heapTableValue, runtimeValue, identityValue"",duplicate vocabulary,analysis/test/value/standard
analysis/check/body/function_value_types_test.go,FunctionValueTypes,parallel routes,analysis/check/body
analysis/check/body/function_value_types_test.go,functionContextEntryHolds,hardcoded semantic cases,analysis/check/body",112,12120,
analysis/check/body/import_outcomes_test.go,true,YES,"file,symbols,debt kind,suggested canonical owner
analysis/check/body/import_outcomes_test.go,""TestImportOutcomesUsesTypeValueWitnessBoundary, TestAnnotatedRequireLocalSourceUsesManifestExportReturnSlot"",hardcoded semantic cases,analysis/engine/effectlowering
analysis/check/body/import_outcomes_test.go,""calleeValueProvider, effectlowering.CallableValueOutcomeProvider"",parallel routes,analysis/engine/effectlowering",103,9008,
analysis/check/body/object_literal_sourcevalue_test.go,true,YES,"file,symbols,debt_kind,suggested_canonical_owner
analysis/check/body/object_literal_sourcevalue_test.go,""ValueSourceResolverFunc, typevalue.WithWitness"",overloaded_helpers,analysis/domain/value/typevalue
analysis/check/body/object_literal_sourcevalue_test.go,""identity.LuaTableLiteral, identity.Key"",hardcoded_semantic_cases,analysis/domain/value/axis/identity
analysis/check/body/object_literal_sourcevalue_test.go,""product.Join, product.Get"",proof_propagation_split,analysis/domain/value/product",142,9909,
