path,query_id,response,completion_tokens,latency_ms,error
analysis/check/body/module_type_alias.go,q0,NONE,2,616,
analysis/check/body/object_literal_sourcevalue.go,q0,NONE,2,977,
analysis/check/body/entry_contextual_function.go,q0,NONE,2,978,
analysis/check/body/expression_operation.go,q0,NONE,2,1083,
analysis/check/body/return_type_values.go,q0,NONE,2,685,
analysis/check/body/signature_return_type_ops.go,q0,NONE,2,938,
analysis/check/body/visibility.go,q0,NONE,2,406,
analysis/check/body/function_value_types.go,q0,89: Verbose boilerplate in `cloneFunctionValueTypes` that could be simplified with a more idiomatic map/slice copy pattern or a generic helper.,33,2118,
analysis/check/body/result_parameter_readmodel.go,q0,"31-33: Verbose boilerplate; the manual check and re-allocation of `out` can be simplified by returning the `params` map directly if it contains the filtered results, or by initializing `out` and returning `nil` only if empty.
37-41: Verbose boilerplate; the nil check for `graph` and the subsequent loop can be streamlined.",81,3213,
analysis/check/diagnostics/assignment_call_owner.go,q0,NONE,2,170,
analysis/check/diagnostics/assignment.go,q0,"87: Verbose boilerplate: a long chain of `if !ok` type resolution attempts could be compressed into a slice of functions or a more generalized type-inference loop.
135: Verbose boilerplate: the repeated pattern of checking `if !ok` for various type projection functions is highly repetitive and could be abstracted.",69,1772,
analysis/check/body/result_accessors.go,q0,"16-215: Verbose boilerplate; nearly every method repeats the same `if r == nil || r.subfield == nil` nil-check pattern which could be compressed with a small helper or by assuming non-nil callers in a more idiomatic way.
163-171: Verbose boilerplate; the `PathSignatureAt` method contains repetitive nil/ok checks that could be streamlined.
218-225: Verbose boilerplate; the `SymbolValueAt` method contains multiple manual nil/ok checks that could be simplified.",120,4147,
analysis/check/body/api.go,q0,"43: Config and SolveConfig contain significant field duplication (EntryState, Initial, TypeValues, CallOutcome, etc.), suggesting an awkward abstraction that should be generalized into a shared sub-struct.
103: Static and Result contain significant field duplication (registry, bindings, cfg, semantics, signatures, moduleTypes, modules, signatureID, facts, visibility, sources, typeValues), suggesting an awkward abstraction that should be generalized.
148: CheckChunk, CheckBoundChunk, CheckFunction, and CheckBoundFunction are verbose boilerplate that repeat the same pattern of Prepare -> Solve.",122,4148,
analysis/check/body/call_identity.go,q0,"38: Verbose boilerplate: redundant nil check for `r` and `r.graph` in a method where `r` is the receiver.
58: Verbose boilerplate: redundant nil check for `r` in a method where `r` is the receiver.
71: Verbose boilerplate: redundant nil check for `r.graph` after it was already checked in the previous block.
81: Verbose boilerplate: redundant nil check for `r` in a method where `r` is the receiver.
95: Verbose boilerplate: redundant nil check for `r` and `r.bindings` in a method where `r` is the receiver.",143,4917,
analysis/check/body/result_return_readmodel.go,q0,"44: Verbose boilerplate; the `if r == nil` check is repeated across multiple methods and could be handled by a single guard or caller convention.
68: Verbose boilerplate; the manual construction of `transfer.NodeContext` and the subsequent `if graph != nil` check could be abstracted into a helper.
83: Verbose boilerplate; the loop for remapping `triggerIndex` and `targetIndex` contains repetitive `if !ok { continue }` logic that could be compressed.
106: Verbose boilerplate; the long chain of `if !condition { return 0, nil, false }` checks in `openTailReturnCallSources` could be simplified.",146,4385,
analysis/check/body/entry_state.go,q0,"81: Verbose boilerplate: The repeated pattern of `seeds = append(seeds, paramEntrySeed{slot: valueSlot, value: ...})` inside the loop could be compressed with a small helper.
103: Verbose boilerplate: The repeated pattern of `seeds = append(seeds, paramEntrySeed{slot: valueSlot, value: ...})` inside the loop could be compressed with a small helper.
118: Verbose boilerplate: The repeated pattern of `seeds = append(seeds, paramEntrySeed{slot: valueSlot, value: ...})` inside the loop could be compressed with a small helper.
135: Verbose boilerplate: The repeated pattern of `seeds = append(seeds, paramEntrySeed{slot: valueSlot, value: ...})` inside the loop could be compressed with a small helper.",179,5620,
analysis/check/diagnostics/channel_select_exhaustiveness.go,q0,"41: dead/unused code (`_ = p`)
165: verbose boilerplate (the `appendUniqueString` function could be replaced by a more idiomatic set-based approach or a small helper if used frequently, though here it is a minor utility)",56,1514,
analysis/check/body/import_outcomes.go,q0,"48-61: Awkward abstraction; the manual segment manipulation and projection logic for the ""root"" case duplicates the logic found in `readablePrefixCalleeValue` and `pathMethodCalleeValue`.
75-93: Verbose boilerplate; the loop and type checking in `readablePrefixCalleeValue` could be compressed by a helper that handles the ""project-and-check-type"" pattern used repeatedly.
101-114: Parallel mechanism; `pathMethodCalleeValue` and `methodCalleeValue` perform nearly identical logic (extracting method, projecting receiver, checking type, and calling `methodTypeValue`), differing only in how the receiver is retrieved.
138-141: Verbose boilerplate; `hasTypeWitness` is a trivial wrapper that adds little value over calling `witnessedType` directly.",182,5733,
analysis/check/body/generic_for_transfer.go,q0,"46: Verbose boilerplate; the `if base != nil` check and subsequent `if sem == nil...` can be simplified by initializing `out` with the result of `base` (if it exists) and using a single guard clause.
101: Verbose boilerplate; the manual `seen` flag and loop for joining values is a pattern that could be abstracted into a `product.JoinAll` or similar helper.
126: Verbose boilerplate; the manual `seen` flag and loop for joining static members is a pattern that could be abstracted into a `product.JoinAll` or similar helper.
158: Awkward abstraction; `genericForCallArgument` uses a loop to find a specific index in a list of expressions, which suggests the `GenericForFact` structure might be better served by a direct mapping or a more specialized lookup method.",185,5775,
analysis/check/checktest/internal/precheck/precheck.go,q0,"21: Awkward abstraction; `Structural` is an empty struct used only to satisfy an interface/method pattern that could be a simple function.
33: Verbose boilerplate; `scanStmts` is a simple loop that could be inlined or replaced by a helper to reduce method overhead.
148: Verbose boilerplate; `newControlScope` is a trivial wrapper around a struct literal.
153: Awkward abstraction; `withLoop` performs a shallow copy of the scope, which is a clever but potentially fragile way to handle scope nesting.
188: Verbose boilerplate; `spanPosition` is a manual mapping that could be a method on `ast.Span` or a more generalized conversion helper.",157,3756,
analysis/check/body/config.go,q0,"39: Stub/no-op function `configGlobals` that merely wraps `Globals` and adds unnecessary complexity.
58: Verbose boilerplate in `configGlobals` (string manipulation) that could be a small helper.
64: Stub/no-op function `Globals` that is a redundant wrapper around `configGlobals`.",71,5873,
analysis/check/diagnostics/assignment_diagnostic.go,q0,"33-40: Verbose boilerplate for mapping `ast.Span` to `diagnostic.Position` that could be a helper.
48-55: Verbose boilerplate for mapping `ast.Span` to `diagnostic.Position` that could be a helper.
83-90: Verbose boilerplate for mapping `ast.Span` to `diagnostic.Position` that could be a helper.
15-81: Awkward abstraction; `assignmentDiagnostic` and `pathAssignmentDiagnostic` are near-duplicates that should be generalized into a single function.",122,3089,
analysis/check/body/read_boundary.go,q0,"71: Verbose boilerplate: `LocalAssignmentSourceValueAtBoundary` and `LocalAssignmentSourceValueWithRootDeclarationRecoveryAtBoundary` duplicate the exact same logic for retrieving the `lowered` source before delegating to the boundary methods.

138: Verbose boilerplate: `callExprPoint` contains a manual lazy-initialization loop for `r.callExprPts` that could be abstracted or handled by a dedicated provider to keep the getter clean.",96,6675,
analysis/check/diagnostics/evidence.go,q0,NONE,2,1414,
analysis/check/diagnostics/diagnostics.go,q0,49: Verbose boilerplate in `produceWithResolver` where multiple `append` calls could be compressed by a slice of producers or a helper.,31,1792,
analysis/check/diagnostics/numeric_for.go,q0,68-75: Verbose boilerplate in `diagnostic.Diagnostic` struct initialization that could be compressed by a helper or a constructor.,29,930,
