path,query_id,response,completion_tokens,latency_ms,error
analysis/check/body/object_literal_sourcevalue.go,q0,NONE,2,433,
analysis/check/body/expression_operation.go,q0,NONE,2,433,
analysis/check/body/call_identity.go,q0,NONE,2,486,
analysis/check/body/return_type_values.go,q0,NONE,2,422,
analysis/check/body/result_return_readmodel.go,q0,NONE,2,426,
analysis/check/body/signature_return_type_ops.go,q0,NONE,2,70,
analysis/check/body/visibility.go,q0,NONE,2,67,
analysis/check/body/result_parameter_readmodel.go,q0,NONE,2,1303,
analysis/check/body/function_value_types.go,q0,NONE,2,1304,
analysis/check/body/config.go,q0,NONE,2,1303,
analysis/check/body/read_boundary_state.go,q0,NONE,2,1304,
analysis/check/body/entry_contextual_function.go,q0,NONE,2,1305,
analysis/check/body/module_type_alias.go,q0,NONE,2,1305,
analysis/check/body/run.go,q0,NONE,2,911,
analysis/check/body/api.go,q0,NONE,2,1745,
analysis/check/body/result_accessors.go,q0,NONE,2,1787,
analysis/check/diagnostics/assignment_call_owner.go,q0,NONE,2,835,
analysis/check/diagnostics/assignment_diagnostic.go,q0,NONE,2,835,
analysis/check/diagnostics/diagnostics.go,q0,NONE,2,505,
analysis/check/diagnostics/assignment.go,q0,NONE,2,1032,
analysis/check/body/entry_state.go,q0,"85: ""self"", gates the logic for identifying a method receiver type.",17,2401,
analysis/check/diagnostics/evidence.go,q0,NONE,2,772,
analysis/check/checktest/internal/precheck/precheck.go,q0,"114: 0, gates whether a `break` statement is valid based on the current loop depth.",24,2375,
analysis/check/diagnostics/internal/readmodel/readmodel.go,q0,NONE,2,950,
analysis/check/body/import_outcomes.go,q0,"78: `2`, gates the minimum number of path segments required to attempt a prefix-based callee resolution in `readablePrefixCalleeValue`.",32,3502,
analysis/check/body/internal/readexpr/readexpr.go,q0,"138: 1, gates whether an integer index is considered valid for removing the soundly-optional nil (requires index >= 1).",31,3502,
analysis/check/diagnostics/member_read.go,q0,NONE,2,264,
analysis/check/diagnostics/channel_select_exhaustiveness.go,q0,"148: -1, gates the initialization of the `selected` index to indicate no select statement has been matched in the chain yet.",30,2309,
analysis/check/diagnostics/direct_call.go,q0,"87: `""call target""`, used as a fallback name for a callee when the symbol name cannot be resolved.",26,1475,
analysis/check/diagnostics/numeric_for.go,q0,"118: 0, used as a seed value for the `mayContainNumber` recursion check.",23,390,
analysis/check/diagnostics/dead_assignment.go,q0,"111: 0, gates whether a captured symbol is considered active/relevant for dead assignment analysis.
168: 0, gates whether a symbol ID is considered valid/non-null during read collection.",47,1997,
analysis/check/diagnostics/condition_reachability.go,q0,"74: `semantics.BranchIf`, `semantics.BranchWhile`, `semantics.BranchRepeat`: gates which branch kinds are considered ""user visible"" for redundancy analysis.
148: `""nil""`: gates specific logic for handling type checks against the `nil` type.",59,2458,
analysis/check/diagnostics/trust.go,q0,NONE,2,559,
analysis/check/diagnostics/member_call.go,q0,"67: `0`, gates whether a receiver is considered to have a resolvable symbol path.
213: `""self""`, gates whether a method is considered to consume its receiver based on the first parameter name.",47,1315,
analysis/check/exportmanifest/effect_boundary.go,q0,NONE,2,104,
analysis/check/exportmanifest/export.go,q0,NONE,2,157,
analysis/check/diagnostics/resolver.go,q0,NONE,2,1104,
analysis/check/diagnostics/return_contract.go,q0,NONE,2,1164,
analysis/check/diagnostics/type_reference.go,q0,NONE,2,1032,
analysis/check/exportmanifest/function_signatures.go,q0,NONE,2,539,
analysis/check/diagnostics/call_param_obligation.go,q0,"88: 1, receiverOffset (used to shift argument indices for colon method calls)
166: 1, index+1 (used for human-readable 1-based indexing in error messages)
211: 1, index+1 (used for human-readable 1-based indexing in error messages)",72,3514,
analysis/check/fixpoint/program/internal/projectsummary/project.go,q0,NONE,2,119,
analysis/check/exportmanifest/object_type.go,q0,NONE,2,733,
analysis/check/exportmanifest/type_defs.go,q0,NONE,2,430,
analysis/check/exportmanifest/source_type.go,q0,NONE,2,518,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_reachability.go,q0,NONE,2,176,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_equalities.go,q0,NONE,2,157,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_conditions.go,q0,NONE,2,203,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_facts.go,q0,NONE,2,340,
analysis/check/diagnostics/guard_env.go,q0,"214: ""nil"", gates logic for handling type equality checks when the target type is nil.
216: ""nil"", gates logic for handling type inequality checks when the target type is nil.
283: ""boolean"", gates the logic for determining truthiness/presence when a runtime type is boolean.",68,3380,
analysis/check/exportmanifest/product_type.go,q0,NONE,2,1296,
analysis/check/fixpoint/program/internal/callresult/provider.go,q0,NONE,2,1085,
analysis/check/fixpoint/program/internal/projectsummary/project_heap_table_objects.go,q0,NONE,2,1012,
analysis/check/diagnostics/assignment_projection.go,q0,"178: 1, gates the validity of a length floor for array index range proving.
234: 0, gates the recursion depth limit for checking nil-to-nilable member assignability.
255: 0, gates the recursion depth limit for transparent type unwrapping.
348: 0, gates the recursion depth limit for transparent type unwrapping.",84,4695,
analysis/check/fixpoint/program/internal/projectsummary/project_return_slots.go,q0,NONE,2,162,
analysis/check/fixpoint/program/internal/projectsummary/project_return_param_aliases.go,q0,NONE,2,552,
analysis/check/fixpoint/query/query.go,q0,NONE,2,160,
analysis/check/diagnostics/unused_local.go,q0,"61: `""""`, gates whether a local name is considered valid for unused analysis.
61: `""_""`, gates whether a local name is ignored (treated as intentionally unused) based on its prefix.",44,2803,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_params.go,q0,"43: """", gates skipping the processing of a slot if the slot name is an empty string.",21,1172,
analysis/check/body/generic_for_transfer.go,q0,"58: `0`, gates whether the target symbol is valid for writing (skips if target is 0).
105: `""pairs""`, gates the return of a specific `iteration.Iterator` configuration for the ""pairs"" function.
108: `""ipairs""`, gates the return of a specific `iteration.Iterator` configuration for the ""ipairs"" function.
125: `1`, gates whether the logic should proceed with literal container variable value resolution (requires `variableIndex == 1`).",112,6583,
analysis/check/body/read_boundary.go,q0,"148: 0, gates `declaration.Source.Kind` check in `rootDeclarationValue`
188: 0, gates `id` check in `SymbolValueAtBoundary`
235: 0, gates `declaration.Symbol` check in `rootDeclarationValue`
251: 0, gates `expr` and `point` check in `rootDeclarationSourceForExpr`
255: 0, gates `exprPath.Symbol` and `len(exprPath.Segments)` check in `rootDeclarationSourceForExpr`",122,6692,
analysis/check/diagnostics/object_literal_mismatch.go,q0,"40: `2`, gates the determination of whether a union type is a closed record union (requires at least 2 arms to be considered a union for this specific logic).
136: `1`, gates the inclusion of an entry in the synthesized structural type of an object literal (only single-segment paths are processed for the type builder).",73,3346,
analysis/check/fixpoint/program/param_inference.go,q0,NONE,2,903,
analysis/check/fixpoint/summary/frozen_table_facts.go,q0,NONE,2,97,
analysis/check/fixpoint/summary/normal_return_facts.go,q0,NONE,2,201,
analysis/check/fixpoint/summary/escape_event_facts.go,q0,NONE,2,632,
analysis/check/fixpoint/summary/param_condition.go,q0,NONE,2,231,
analysis/check/fixpoint/program/program.go,q0,NONE,2,1421,
analysis/check/fixpoint/summary/param_obligation.go,q0,NONE,2,151,
