id,title,mode,scope_dir,ext,match,exclude,expected_owner,allowed_surfaces,banned_surfaces,deterministic_probe,filter_prompt,deep_prompt,agent_prompt
normal_return_fact_lanes,Normal return fact lanes need one registry,agentscan,analysis,go,normal_return,,analysis/engine/callboundary plus a future NormalReturnFactLane registry,"callboundary facts; summary lattice; projectsummary; factapply caller apply","manual field lists repeated across Empty Append Clone Equal LessEq Join Widen Project Apply","NormalReturnFacts|PathRefinements|LifecycleFacts|NumFloors|RelConstraints","YES if this file defines or transforms normal-return/call-outcome facts or repeats per-fact-lane logic. NO for narrow tests unless they expose a missing abstraction.","Review for duplicated normal-return fact lane work. Identify every manual list or per-axis branch that would need edits when adding a new semantic fact lane. State the canonical owner that should own projection normalization join widening substitution and caller application. Cite concrete functions and line-level symbols.","You are checking the normal-return fact pipeline. Find whether this file creates a parallel path around the intended callboundary summary projection/apply flow. Read related files as needed. Answer with confirmed findings only and cite concrete symbols."
boundary_address_ownership,Path StateKey keyspace vocabulary ownership,agentscan,analysis,go,boundary,,future BoundaryAddress or PathAddressResolver service,"read_boundary.go; path/address; path/keyspace; factapply boundary helpers","direct Path to StateKey or PathKey conversion scattered through semantic code","PathKeyAtBoundary|StateKeyAtBoundary|RootOrVisibleKeyAt|FromStateKey|FromPathKey|InternStateKey","YES if this file converts between path.Path path.PathKey pathaddr.StateKey keyspace.Key or chooses root-or-visible/local state address semantics. NO for tests that only assert round trip behavior.","Review whether address/key conversion is owned by one boundary abstraction or duplicated locally. Classify each conversion as semantic path use state-boundary address hot interned key or legacy compatibility. Recommend the smallest ownership rule that would prevent drift without replacing every type blindly.","You are checking path/key/address vocabulary. Find if this file should be using an owner service instead of choosing key spelling itself. Read related files as needed. Do not recommend blind renaming; distinguish Path StateKey keyspace.Key and legacy PathKey roles."
context_specialization_index,Call context specialization needs owned index,agentscan,analysis/check/fixpoint/program,go,context,,future ContextIndex or SpecializationIndex,"call_context_entry.go; call_context_refresh.go; program context merge helpers","raw callContextRef/functionExpressionRef maps or context entry updates outside one owner","callContextRef|functionExpressionRef|canonicalContextOwner|mergeContextEntry|ContextsByIdentity","YES if this file constructs or mutates context-specialized function or call-site entries. NO for unrelated tests.","Review whether context specialization identity and entry-state join are protected by a single abstraction. Identify code that can construct raw refs bypassing canonicalization or add context entries without lattice join. Cite functions and tests.","You are checking recursive/context specialization ownership. Confirm whether this file can reintroduce recursive alias growth or context-entry overwrite bugs. Read related files and return concrete risks."
projection_service_owner,Value and type projection should be one service,agentscan,analysis/check,go,projection,,future ProjectionService below diagnostics and fixpoint,"readexpr projection providers; readmodel; sourcevalue; staticmemberwitness; callresult materialization","parallel facts-to-structural-witness or value-to-type projection logic","projectedFlowSourceType|newFlowExpressionTyper|staticmemberwitness|returnRecordTypeFromFacts|materializeReturnRootTypesFromFacts|ReadPath","YES if this file projects abstract facts into source values structural witnesses or user-facing expression types. NO for callers that merely consume a completed diagnostic.","Review for parallel projection paths. Identify whether heap identity dynamic index static member evidence variant origin and type projection are routed through one service or reimplemented locally. Cite exact symbols.","You are checking projection architecture. Find whether this target duplicates projection logic that should live in a ProjectionService. Read imports/callers as needed and separate real duplication from harmless adapter code."
diagnostic_proof_context,Diagnostics should query proof context not recompute proof domains,refine,analysis/check/diagnostics,go,,,future ProofContext or GuardProofQuery,"diagnostic producers; guard_env as temporary implementation detail","each producer recomputing branch reachability nil truthy type or literal proofs","guardEnv|guardEnvironments|Proves|ReachableAt|redundantConditionProof|literalConditionProof|typeConditionProof","YES if this file builds or consumes guardEnv or independently proves reachability truthiness nil presence runtime type or literal facts. NO for pure rendering tests.","Review whether diagnostic proof logic is centralized. Flag places where a producer owns proof semantics instead of asking a common proof query object. Explain how this can cause redundant or contradictory user-facing evidence. Cite symbols.",""
numeric_constraint_purity,Numeric solver should not know path spelling,refine,analysis/domain/constraint,go,,,analysis-side numeric operand mapper plus opaque numeric.Var,"numeric solver row representation; solver API","pathdom.PathKey or analysis path vocabulary inside reusable numeric theory","pathdom.PathKey|NumericConstraint|SumLe|Assert|Entails","YES if this file defines numeric constraints solver variables or entailment and mentions analysis path/key vocabulary or special-case arithmetic shapes. NO for tests only.","Review whether the numeric theory is pure math or coupled to analysis path keys. Identify any special-case constraint shapes that should become a canonical affine row with opaque variables. Cite exact types and methods.",""
effect_capability_semantics,Effect rows and capability labels need semantic vocabulary,refine,analysis/domain/effect,go,,,effect row and capability label registry,"effect.Row; capability descriptors; label IDs","mixing semantic effect identity with lowering status or exploding IDs for parameterized concepts","type Row|Labels|IDFor|Descriptor|LoweringStatus|ReturnTransform","YES if this file defines effect rows capability labels descriptors lowering status or label identity. NO for narrow tests unless they expose semantic vocabulary drift.","Review whether effect/capability vocabulary is semantic and parameterized or an accumulating enum/switch. Identify places where lowering/audit status is mixed with effect meaning. Cite symbols.",""
state_lane_catalog,State lanes should stay catalog-owned,refine,analysis/engine/state,go,,,LaneCatalog LaneSet DomainWithLaneSet,"lane_catalog.go; lane_registry.go; lane_ops.go; domain construction","domain container knowing concrete lane set by hardcoded fields outside lane specs","LaneCatalog|LaneSet|laneSpec|DomainWithLaneSet|StateLanes|OptionalLanes","YES if this file defines state domain lanes lane registry lane enablement or domain construction. NO for ordinary lane tests unless they reveal hardcoded lane ownership.","Review whether the state container is generic over registered lanes or still knows concrete lane identities. Distinguish acceptable default catalog wiring from bad hardcoded lane operations. Cite symbols.",""
config_axis_drift,Check config axes should not require manual copy drift,refine,analysis/check/body,go,config,,body Config preparation and SolveConfig conversion owned by config types,"api.go config.go checktest option surface","parallel Config/SolveConfig fields requiring repeated copy/convert edits","type Config|type SolveConfig|copyConfig|solveConfigFromConfig|StateLanes|DiagnosticPolicy","YES if this file defines or copies checker configuration axes or converts user config to solve config. NO for normal analysis logic.","Review for config-axis drift. Identify fields or options that must be copied through multiple structs and whether this should be nested owned config preparation. Cite symbols.",""
import_boundary_positive_tests,Architecture tests should express positive ownership,refine,analysis/architecture,go,,,architecture/import_boundary_test plus future ownership tests,"negative layer bans and positive owner-only assertions","only negative import bans without owner-only tests for boundary conversion fact lanes or proof queries","Forbidden|Allowed|Import|Boundary|Owner|PathKeyAtBoundary|NormalReturnFacts","YES if this file defines architecture/import boundary tests or package ownership policy. NO otherwise.","Review whether architecture tests express positive ownership or only negative import bans. Propose specific owner-only checks for Path to StateKey conversion normal-return fact lanes projection services and diagnostic proof queries. Cite existing test helpers.",""
