path,query_id,response,completion_tokens,latency_ms,error
analysis/check/body/module_type_alias.go,q0,NONE,2,836,
analysis/check/body/expression_operation.go,q0,NONE,2,961,
analysis/check/body/object_literal_sourcevalue.go,q0,NONE,2,1047,
analysis/check/body/api.go,q0,NONE,2,1498,
analysis/check/body/result_accessors.go,q0,NONE,2,1567,
analysis/check/body/signature_return_type_ops.go,q0,NONE,2,121,
analysis/check/body/visibility.go,q0,NONE,2,95,
analysis/check/body/return_type_values.go,q0,"21: `resolver.Type(expr)` + A type expression that triggers infinite recursion in the resolver (e.g., a recursive table definition or a self-referential type alias) that might cause a stack overflow.

23: `product.Top()` + A malformed or unresolvable type expression (e.g., a syntax error in a type annotation or a reference to a non-existent global type) that forces the analyzer to fallback to `Top`.

31: `types[0].(*ast.TupleTypeExpr)` + A single-element slice containing a `TupleTypeExpr` that is empty or contains nil elements, testing the flattening logic's robustness.

32: `tuple.Elements...` + A deeply nested tuple structure (e.g., a tuple within a tuple within a tuple) that tests whether the flattening is shallow or if it fails to unpack nested structures correctly.",191,3056,
analysis/check/body/result_parameter_readmodel.go,q0,"16: Nil/Empty Symbol Handling: A `slot.Symbol` that resolves to an empty string via `statekey.SymbolValue` tests if the loop correctly skips ""ghost"" parameters without crashing or returning invalid empty slots.

35: Nil Graph/Empty RPO: A `Result` that has valid bindings but a `nil` graph (or an empty RPO traversal) tests the boundary where a function has parameters but no control-flow graph available for analysis.

40: Non-Ordinary Assignment Kinds: An assignment that exists but has a `Kind` other than `RootAssignmentOrdinaryRootWrite` (e.g., a global write or a non-root assignment) tests if the re-assignment logic correctly ignores non-local or non-standard side effects.

43: Target Symbol Collision: An assignment where `assignment.TargetSymbol()` returns a symbol that is not present in the `params` map tests the intersection logic between the function's formal parameters and the actual writes occurring in the graph.",213,4135,
analysis/check/body/config.go,q0,"41: mergeExpressionValues + Nil/Empty handling: If both `base` and `override` are non-nil but empty, it returns `nil`, which might cause a panic in a caller expecting a non-nil map for subsequent writes.

49: exprRefSet + Nil/Empty handling: If `paths` is an empty map (not nil), it returns `nil`, potentially breaking callers that rely on the distinction between an empty set and a null set.

58: configGlobals + Malformed Input: If `signaturelookup.StdlibSignatures()` returns a key that is just a dot `"".""` or starts with a dot, `root` becomes an empty string, which is then appended to `globals` via the `root != """"` check, but the logic for handling complex nested stdlib paths might be shallow.

58: configGlobals + Rare Type Combinations: If `IncludeStdlib` is true but `StdlibSignatures()` returns an empty map, the function returns only the user-defined globals, which might be an unexpected state for a ""stdlib-enabled"" config.",231,4363,
