path,query_id,response,completion_tokens,latency_ms,error
analysis/check/body/object_literal_sourcevalue.go,q0,NONE,2,168,
analysis/check/body/module_type_alias.go,q0,NONE,2,1018,
analysis/check/body/expression_operation.go,q0,NONE,2,1305,
analysis/check/body/result_parameter_readmodel.go,q0,NONE,2,1363,
analysis/check/body/api.go,q0,NONE,2,1362,
analysis/check/body/entry_contextual_function.go,q0,NONE,2,1363,
analysis/check/body/return_type_values.go,q0,NONE,2,853,
analysis/check/body/visibility.go,q0,NONE,2,1416,
analysis/check/body/signature_return_type_ops.go,q0,NONE,2,1417,
analysis/check/diagnostics/assignment_call_owner.go,q0,NONE,2,1249,
analysis/check/body/generic_for_transfer.go,q0,144: primitive obsession + replace `string(key)` with a typed key or segment type to avoid repeated parsing.,26,4707,
analysis/check/body/result_accessors.go,q0,117: primitive obsession (passing `name string` where a module alias or identifier type would be clearer) + use a domain-specific type for module names.,35,6638,
analysis/check/body/config.go,q0,48: leaky layering (importing `signaturelookup` to access stdlib logic) + move stdlib extraction logic to the `signaturelookup` package or a shared domain layer.,38,6685,
analysis/check/body/internal/readexpr/readexpr.go,q0,"44: a god function doing too much: `Project` handles exact path resolution, structural evidence projection, heap identity projection, and parent inheritance; split into specialized strategy functions.",37,6685,
analysis/check/body/entry_state.go,q0,"24: primitive obsession (the `parameterEntryState` function takes 9 parameters; group related parameters like `reg`, `typeValues`, `bindings`, and `typeResolver` into a `Context` or `Environment` struct)",49,7589,
analysis/check/body/read_boundary.go,q0,149: primitive obsession + Use a typed constant or enum for `declaration.Source.Kind` instead of comparing against `0`.,29,7661,
analysis/check/diagnostics/assignment_projection.go,q0,240: primitive obsession (passing `int` for depth) + use a dedicated `RecursionDepth` type or constant to clarify intent.,31,3222,
analysis/check/body/call_identity.go,q0,78: primitive obsession - The `stableCalleeName` function manually reconstructs a string representation of a path using a `strings.Builder` and a switch on segment kinds; this logic should be encapsulated within a `path.Path` method or a dedicated `String()` method on a path type to unify the intent.,67,8946,
analysis/check/checktest/checktest.go,q0,"131: god function doing too much + Split `checkSource` into smaller functions for parsing, running the program, and error/diagnostic processing.",32,7628,
analysis/check/body/read_boundary_state.go,q0,"48: duplicated intent that a small type would unify: The `nodeOutputAt` function manually checks for `nil` on `r.registry`, `graph`, and `r.boundaryXfer`. These dependencies should be encapsulated in a validated `Context` or `Engine` type to avoid repetitive nil-checks and ensure the `Result` is in a valid state before use.",79,9273,
analysis/check/body/function_value_types.go,q0,"61: boolean-trap parameter (hasCurrent) + Wrap `hasCurrent` and `current` into a single `StateContext` struct or use a pointer/nil check to represent presence.

75: god function doing too much (functionContextEntryHolds) + Split the function into smaller predicates: `checkPathRefinements`, `checkStaticMembers`, and `checkHeapObjects`.",82,9365,
analysis/check/checktest/internal/precheck/precheck.go,q0,"103: god function doing too much + Split `scanStmt` into smaller, specialized handlers for different AST node categories (e.g., `scanAssignment`, `scanControlFlow`, `scanFunctionDef`).",45,8082,
analysis/check/diagnostics/assignment.go,q0,76: a god function doing too much: `localAssignment` contains a massive chain of `if !ok` type-inference probes; extract each probe into a strategy pattern or a registry of type-inference providers.,46,8013,
analysis/check/diagnostics/call_param_obligation.go,q0,"111: a god function doing too much - The `call` method handles receiver offset logic, obligation iteration, type resolution, mismatch detection, and diagnostic evidence construction. Split into smaller methods for type resolution and diagnostic generation.",47,4881,
analysis/check/diagnostics/diagnostics.go,q0,"61: a god function doing too much: split `produceWithResolver` into smaller, specialized sub-passes or a visitor pattern to handle the growing list of diagnostic checks.",37,4052,
analysis/check/body/result_return_readmodel.go,q0,"63: god function doing too much: `openTailReturnPresenceRelations` handles fact retrieval, call site lookup, state management, context construction, and complex relation transformation; extract the relation transformation loop into a dedicated method.

83: awkward abstraction: `openTailReturnCallSources` returns a triple `(cfg.Point, map[int]int, bool)` where the boolean is a ""comma ok"" idiom for a complex state; return a small struct containing these three fields to clarify intent.",104,11713,
analysis/check/diagnostics/dead_assignment.go,q0,148+ god function doing too much: `collectDeadAssignmentReads` contains a massive switch/if-else block traversing every possible AST node type; extract the expression traversal logic into a dedicated visitor or specialized functions.,46,4652,
analysis/check/diagnostics/member_call.go,q0,87 + duplicated intent + `typedSignatureStructuralDiagnostic` and `call` share almost identical logic for resolving receiver types and narrowing; unify the common logic into a single helper function.,38,2798,
analysis/check/diagnostics/evidence.go,q0,21: primitive obsession (passing `want typ.Type` and `value` as raw types) + wrap `typ.Type` and the value identifier in domain-specific types to clarify their role in evidence generation.,46,3987,
analysis/check/body/import_outcomes.go,q0,"31: god function doing too much - The anonymous function returned by `calleeValueProvider` handles multiple distinct resolution strategies (empty path, path method, projection, prefix, and root projection); extract each strategy into named helper functions.
54: duplicated intent that a small type would unify - The `(product.Value, bool, bool)` return signature in `readablePrefixCalleeValue` uses a boolean to represent ""authoritative"" status; encapsulate this into a small `Resolution` struct with `Value`, `Found`, and `IsAuthoritative` fields.",118,13075,
